全国地方公共団体コード,ID,地方公共団体名,種別,所在地_全国地方公共団体コード,町字ID,所在地_連結表記,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_番地以下,建物名等(方書),緯度,経度,口径,備考
034029,,岩手県西磐井郡平泉町,消火栓,034029,,岩手県西磐井郡平泉町長島字竜ケ坂11番地,岩手県,西磐井郡平泉町,長島字竜ケ坂,11番地,,39.0024278877905,141.1374455643330,,9-3
034029,,岩手県西磐井郡平泉町,消火栓,034029,,岩手県西磐井郡平泉町長島字竜ケ坂84番地,岩手県,西磐井郡平泉町,長島字竜ケ坂,84番地,,39.0035571815888,141.1402621773160,,9-4
034029,,岩手県西磐井郡平泉町,消火栓,034029,,岩手県西磐井郡平泉町長島字竜ケ坂57番地,岩手県,西磐井郡平泉町,長島字竜ケ坂,57番地,,39.0044722041027,141.1364646643330,,9-5
034029,,岩手県西磐井郡平泉町,消火栓,034029,,岩手県西磐井郡平泉町長島字滝の沢41番地,岩手県,西磐井郡平泉町,長島字滝の沢,41番地,,39.0063505415409,141.1375458607060,,9-6
034029,,岩手県西磐井郡平泉町,消火栓,034029,,岩手県西磐井郡平泉町長島字滝の沢72番地,岩手県,西磐井郡平泉町,長島字滝の沢,72番地,,39.0077821328109,141.1357117759690,,9-7
034029,,岩手県西磐井郡平泉町,消火栓,034029,,岩手県西磐井郡平泉町長島字二反田16番地,岩手県,西磐井郡平泉町,長島字二反田,16番地,,39.0113559246296,141.1364054319530,,9-8
034029,,岩手県西磐井郡平泉町,消火栓,034029,,岩手県西磐井郡平泉町長島字二反田40番地,岩手県,西磐井郡平泉町,長島字二反田,40番地,,39.0131380414936,141.1377286479730,,9-9
034029,,岩手県西磐井郡平泉町,消火栓,034029,,岩手県西磐井郡平泉町長島字赤羽根69番地,岩手県,西磐井郡平泉町,長島字赤羽根,69番地,,39.0143364759730,141.1409482962050,,9-10
034029,,岩手県西磐井郡平泉町,消火栓,034029,,岩手県西磐井郡平泉町長島字月舘45番地1,岩手県,西磐井郡平泉町,長島字月舘,45番地1,,39.0180187226162,141.1367712270630,,9-11
034029,,岩手県西磐井郡平泉町,消火栓,034029,,岩手県西磐井郡平泉町長島字生江田3番地,岩手県,西磐井郡平泉町,長島字生江田,3番地,,38.9995744208243,141.1359421410600,,9-12
034029,,岩手県西磐井郡平泉町,消火栓,034029,,岩手県西磐井郡平泉町長島字前林6番地,岩手県,西磐井郡平泉町,長島字前林,6番地,,39.0118982096506,141.1394105643330,,9-13
034029,,岩手県西磐井郡平泉町,消火栓,034029,,岩手県西磐井郡平泉町長島字月舘159番地,岩手県,西磐井郡平泉町,長島字月舘,159番地,,39.0152335619564,141.1358326508420,,9-14
034029,,岩手県西磐井郡平泉町,消火栓,034029,,岩手県西磐井郡平泉町長島字二反田114番地,岩手県,西磐井郡平泉町,長島字二反田,114番地,,39.0100948556918,141.1378225410610,,9-15
034029,,岩手県西磐井郡平泉町,消火栓,034029,,岩手県西磐井郡平泉町長島字滝の沢187番地1,岩手県,西磐井郡平泉町,長島字滝の沢,187番地1,,39.0087983589252,141.1383308661880,,9-16
034029,,岩手県西磐井郡平泉町,消火栓,034029,,岩手県西磐井郡平泉町長島字滝の沢112番地1,岩手県,西磐井郡平泉町,長島字滝の沢,112番地1,,39.0075952802051,141.1437581656800,,9-17
034029,,岩手県西磐井郡平泉町,消火栓,034029,,岩手県西磐井郡平泉町平泉字衣関中尊寺内,岩手県,西磐井郡平泉町,平泉字衣関,中尊寺内,,38.9995107152984,141.1061266866460,,中-1
034029,,岩手県西磐井郡平泉町,消火栓,034029,,岩手県西磐井郡平泉町平泉字衣関中尊寺内,岩手県,西磐井郡平泉町,平泉字衣関,中尊寺内,,38.9998296403682,141.1063654032560,,中-2
034029,,岩手県西磐井郡平泉町,消火栓,034029,,岩手県西磐井郡平泉町平泉字衣関中尊寺内,岩手県,西磐井郡平泉町,平泉字衣関,中尊寺内,,38.9998108801097,141.1054561343720,,中-3
034029,,岩手県西磐井郡平泉町,消火栓,034029,,岩手県西磐井郡平泉町平泉字衣関中尊寺内,岩手県,西磐井郡平泉町,平泉字衣関,中尊寺内,,38.9999380328834,141.1051128116580,,中-4
